"","clean_hostnames","origin","host_family","host_genus","host_species","virus_genus","virus_subgenus"
"1","Artibeus_lituratus","Anthony","Phyllostomidae","Artibeus","Artibeus_lituratus","Betacoronavirus",""
"2","Artibeus_obscurus","Anthony","Phyllostomidae","Artibeus","Artibeus_obscurus","Betacoronavirus",""
"3","Aselliscus_stoliczkanus","Anthony","Hipposideridae","Aselliscus","Aselliscus_stoliczkanus","Betacoronavirus",""
"4","Carollia_perspicillata","Anthony","Phyllostomidae","Carollia","Carollia_perspicillata","Betacoronavirus",""
"5","Chaerephon_plicatus","Anthony","Molossidae","Chaerephon","Chaerephon_plicatus","Betacoronavirus",""
"6","Cynopterus_brachyotis","Anthony","Pteropodidae","Cynopterus","Cynopterus_brachyotis","Betacoronavirus",""
"7","Cynopterus_horsfieldii","Anthony","Pteropodidae","Cynopterus","Cynopterus_horsfieldii","Betacoronavirus",""
"8","Cynopterus_sphinx","Anthony","Pteropodidae","Cynopterus","Cynopterus_sphinx","Betacoronavirus",""
"9","Artibeus_phaeotis","Anthony","Phyllostomidae","Dermanura","Dermanura_phaeotis","Betacoronavirus",""
"10","Dobsonia_moluccensis","Anthony","Pteropodidae","Dobsonia","Dobsonia_moluccensis","Betacoronavirus",""
"11","Dyacopterus_spadiceus","Anthony","Pteropodidae","Dyacopterus","Dyacopterus_spadiceus","Betacoronavirus",""
"12","Eidolon_dupreanum","Anthony","Pteropodidae","Eidolon","Eidolon_dupreanum","Betacoronavirus",""
"13","Eidolon_helvum","Anthony","Pteropodidae","Eidolon","Eidolon_helvum","Betacoronavirus","Nobecovirus"
"14","Eidolon_helvum","Anthony","Pteropodidae","Eidolon","Eidolon_helvum","Betacoronavirus",""
"15","Eonycteris_spelaea","Anthony","Pteropodidae","Eonycteris","Eonycteris_spelaea","Betacoronavirus",""
"16","Eonycteris_spelaea","Anthony","Pteropodidae","Eonycteris","Eonycteris_spelaea","Betacoronavirus","Nobecovirus"
"17","Epomophorus_gambianus","Anthony","Pteropodidae","Epomophorus","Epomophorus_gambianus","Betacoronavirus",""
"18","Epomophorus_labiatus","Anthony","Pteropodidae","Epomophorus","Epomophorus_labiatus","Betacoronavirus",""
"19","Epomops_franqueti","Anthony","Pteropodidae","Epomops","Epomops_franqueti","Betacoronavirus",""
"20","Eptesicus_nilssonii","Anthony","Vespertilionidae","Eptesicus","Eptesicus_nilssonii","Betacoronavirus",""
"21","Eptesicus_serotinus","Anthony","Vespertilionidae","Eptesicus","Eptesicus_serotinus","Betacoronavirus",""
"22","Eumops_glaucinus","Anthony","Molossidae","Eumops","Eumops_glaucinus","Betacoronavirus",""
