origin,host_family,host_genus,host_species,virus_genus,virus_subgenus
Anthony,Vespertilionidae,Myotis,Myotis lucifugus,Alphacoronavirus,NA
Anthony,Hipposideridae,Hipposideros,Hipposideros caffer,Alphacoronavirus,NA
Anthony,Pteropodidae,Rousettus,Rousettus aegyptiacus,Alphacoronavirus,NA
Anthony,Hipposideridae,Hipposideros,Hipposideros vittatus,Alphacoronavirus,NA
Anthony,Miniopteridae,Miniopterus,Miniopterus schreibersii,Alphacoronavirus,NA
Anthony,Vespertilionidae,Myotis,Myotis lucifugus,Alphacoronavirus,Colacovirus
Anthony,Hipposideridae,Hipposideros,Hipposideros abae,Alphacoronavirus,Duvinacovirus
Anthony,Hipposideridae,Hipposideros,Hipposideros ruber,Alphacoronavirus,Duvinacovirus
Anthony,Hipposideridae,Hipposideros,Hipposideros caffer,Alphacoronavirus,Duvinacovirus
Anthony,Miniopteridae,Miniopterus,Miniopterus magnater,Alphacoronavirus,Minunacovirus
Anthony,Miniopteridae,Miniopterus,Miniopterus schreibersii,Alphacoronavirus,Minunacovirus
Anthony,Miniopteridae,Miniopterus,Miniopterus schreibersii,Alphacoronavirus,Minunacovirus
Anthony,Vespertilionidae,Myotis,Myotis ricketti,Alphacoronavirus,NA
Anthony,Vespertilionidae,Nyctalus,Nyctalus plancyi,Alphacoronavirus,NA
Anthony,Vespertilionidae,Scotophilus,Scotophilus kuhlii,Alphacoronavirus,Pedacovirus
Anthony,Vespertilionidae,Pipistrellus,Pipistrellus coromandra,Alphacoronavirus,Pedacovirus
Anthony,Vespertilionidae,Myotis,Myotis horsfieldii,Alphacoronavirus,Pedacovirus
Anthony,Rhinolophidae,Rhinolophus,Rhinolophus rex,Alphacoronavirus,Rhinacovirus
Anthony,Hipposideridae,Hipposideros,Hipposideros pratti,Alphacoronavirus,Rhinacovirus
Anthony,Rhinolophidae,Rhinolophus,Rhinolophus ferrumequinum,Alphacoronavirus,NA
Anthony,Pteropodidae,Pteropus,Pteropus giganteus,Alphacoronavirus,Tegacovirus
Anthony,Vespertilionidae,Myotis,Myotis davidii,Alphacoronavirus,NA
Anthony,Miniopteridae,Miniopterus,Miniopterus schreibersii,Alphacoronavirus,NA
Anthony,Vespertilionidae,Murina,Murina leucogaster,Alphacoronavirus,NA
Anthony,Hipposideridae,Hipposideros,Hipposideros larvatus,Alphacoronavirus,NA
Anthony,Molossidae,Chaerephon,Chaerephon pumilus,Alphacoronavirus,NA
Anthony,Miniopteridae,Miniopterus,Miniopterus inflatus,Alphacoronavirus,NA
Anthony,Miniopteridae,Miniopterus,Miniopterus natalensis,Alphacoronavirus,NA
Anthony,Mystacinidae,Mystacina,Mystacina tuberculata,Alphacoronavirus,NA
Anthony,Hipposideridae,Hipposideros,Hipposideros diadema,Alphacoronavirus,NA
Anthony,Hipposideridae,Hipposideros,Hipposideros bicolor,Alphacoronavirus,NA
Anthony,Hipposideridae,Hipposideros,Hipposideros gigas,Alphacoronavirus,NA
Anthony,Hipposideridae,Triaenops,Triaenops persicus,Alphacoronavirus,NA
Anthony,Hipposideridae,Triaenops,Triaenops persicus,Alphacoronavirus,NA
Anthony,Phyllostomidae,Sturnira,Sturnira erythromos,Alphacoronavirus,NA
Anthony,Phyllostomidae,Anoura,Anoura caudifer,Alphacoronavirus,NA
Anthony,Phyllostomidae,Sturnira,Sturnira lilium,Alphacoronavirus,NA
Anthony,Phyllostomidae,Artibeus,Artibeus lituratus,Alphacoronavirus,NA
Anthony,Phyllostomidae,Glossophaga,Glossophaga soricina,Alphacoronavirus,NA
Anthony,Phyllostomidae,Lichonycteris,Lichonycteris obscura,Alphacoronavirus,NA
Anthony,Rhinolophidae,Rhinolophus,Rhinolophus shameli,Alphacoronavirus,NA
Anthony,Vespertilionidae,Scotophilus,Scotophilus kuhlii,Alphacoronavirus,NA
Anthony,Vespertilionidae,Pipistrellus,Pipistrellus coromandra,Alphacoronavirus,NA
Anthony,Miniopteridae,Miniopterus,Miniopterus magnater,Alphacoronavirus,NA
Anthony,Rhinolophidae,Rhinolophus,Rhinolophus coelophyllus,Alphacoronavirus,NA
Anthony,Hipposideridae,Hipposideros,Hipposideros lekaguli,Alphacoronavirus,NA
Anthony,Phyllostomidae,Artibeus,Artibeus jamaicensis,Alphacoronavirus,NA
Anthony,Vespertilionidae,Pipistrellus,Pipistrellus pipistrellus,Alphacoronavirus,NA
Anthony,Vespertilionidae,Myotis,Myotis daubentonii,Alphacoronavirus,NA
Anthony,Vespertilionidae,Myotis,Myotis longipes,Alphacoronavirus,NA
Anthony,Vespertilionidae,Myotis,Myotis myotis,Alphacoronavirus,NA
Anthony,Rhinolophidae,Rhinolophus,Rhinolophus sinicus,Alphacoronavirus,NA
Anthony,Rhinolophidae,Rhinolophus,Rhinolophus affinis,Alphacoronavirus,NA
Anthony,Vespertilionidae,Scotophilus,Scotophilus dinganii,Alphacoronavirus,NA
Anthony,Phyllostomidae,Mesophylla,Mesophylla macconnelli,Alphacoronavirus,NA
Anthony,Vespertilionidae,Scotophilus,Scotophilus leucogaster,Alphacoronavirus,NA
Anthony,Molossidae,Mops,Mops condylurus,Alphacoronavirus,NA
Anthony,Vespertilionidae,Scotophilus,Scotophilus nux,Alphacoronavirus,NA
Anthony,Pteropodidae,Pteropus,Pteropus giganteus,Alphacoronavirus,NA
Anthony,Pteropodidae,Eonycteris,Eonycteris spelaea,Alphacoronavirus,NA
