"","host","virus","presence","suitability"
"147","Eonycteris spelaea","Betacoronavirus",1,2.85112338337192e+27
"164","Micropteropus pusillus","Betacoronavirus",1,5.79380965386339e+26
"870","Desmodus rotundus","Betacoronavirus",0,8.54191129437649e+23
"979","Phyllostomus hastatus","Betacoronavirus",0,2.58239917594244e+23
"1021","Uroderma bilobatum","Betacoronavirus",0,4.1382373334478e+22
"146","Eidolon helvum","Betacoronavirus",1,1.08381380396096e+21
"904","Hypsignathus monstrosus","Betacoronavirus",0,500844262413647
"978","Phyllostomus discolor","Betacoronavirus",0,728983664876.728
"993","Pteropus poliocephalus","Betacoronavirus",0,332464811.386952
"932","Molossus rufus","Betacoronavirus",0,267660946.852994
"931","Molossus molossus","Betacoronavirus",0,51249401.847795
"197","Rousettus aegyptiacus","Betacoronavirus",1,39428381.6215128
"198","Rousettus amplexicaudatus","Betacoronavirus",1,16206203.8302202
"196","Rhinopoma hardwickii","Betacoronavirus",1,9123027.92530674
"166","Mops condylurus","Betacoronavirus",1,7946193.81908796
"138","Carollia perspicillata","Betacoronavirus",1,6747593.50511388
"181","Pteronotus davyi","Betacoronavirus",1,6666732.69252676
"150","Epomops franqueti","Betacoronavirus",1,3711597.63572014
"160","Hypsugo savii","Betacoronavirus",1,598872.91971853
"163","Megaloglossus woermanni","Betacoronavirus",1,572607.086237125
"182","Pteronotus parnellii","Betacoronavirus",1,506276.569327513
"986","Plecotus auritus","Betacoronavirus",0,470643.900968524
"933","Mormoops megalophylla","Betacoronavirus",0,323905.874216003
"165","Miniopterus schreibersii","Betacoronavirus",1,71176.6345510853
"859","Barbastella barbastellus","Betacoronavirus",0,21193.1545365959
"1016","Tadarida brasiliensis","Betacoronavirus",0,8700.08445895685
"202","Triaenops persicus","Betacoronavirus",1,7773.84583760787
"853","Anoura geoffroyi","Betacoronavirus",0,1268.97129645042
"140","Cynopterus brachyotis","Betacoronavirus",1,1221.40023793736
"863","Chaerephon pumilus","Betacoronavirus",0,737.021004195809
"134","Artibeus lituratus","Betacoronavirus",1,735.185094391025
"142","Cynopterus sphinx","Betacoronavirus",1,700.563442338209
"861","Carollia brevicauda","Betacoronavirus",0,16.3590079466757
"145","Eidolon dupreanum","Betacoronavirus",1,3.99139817287498
"876","Epomops dobsonii","Betacoronavirus",0,2.33397101847747
"857","Artibeus jamaicensis","Betacoronavirus",0,1.80215677383699
"1008","Scotophilus kuhlii","Betacoronavirus",0,0.858576432844883
"148","Epomophorus gambianus","Betacoronavirus",1,0.246887586473156
"890","Glossophaga soricina","Betacoronavirus",0,0.233774465667911
"136","Artibeus phaeotis","Betacoronavirus",1,0.119509404775802
"139","Chaerephon plicatus","Betacoronavirus",1,0.115583807189234
"1012","Sturnira lilium","Betacoronavirus",0,0.0827287043252492
"184","Pteropus giganteus","Betacoronavirus",1,0.0523533455403449
"935","Murina leucogaster","Betacoronavirus",0,0.0216419256304045
"946","Myotis grisescens","Betacoronavirus",0,0.0143373149006595
"183","Pteropus alecto","Betacoronavirus",1,0.00964910826321694
"862","Carollia subrufa","Betacoronavirus",0,0.00827933501266382
"992","Pteropus neohibernicus","Betacoronavirus",0,0.00403206747528077
"995","Pteropus vampyrus","Betacoronavirus",0,0.00318360944047709
"855","Artibeus cinereus","Betacoronavirus",0,0.000861042725799701
"955","Myotis myotis","Betacoronavirus",0,0.000721654651724567
"958","Myotis nigricans","Betacoronavirus",0,0.00060424449139201
"952","Myotis lucifugus","Betacoronavirus",0,0.000532872381763091
"154","Hipposideros armiger","Betacoronavirus",1,0.000490605152868638
"852","Anoura caudifer","Betacoronavirus",0,0.000355723839031785
"135","Artibeus obscurus","Betacoronavirus",1,0.000291327380819754
"934","Murina aurata","Betacoronavirus",0,0.000213635258994503
"201","Taphozous perforatus","Betacoronavirus",1,0.000202434954553778
"869","Cynomops planirostris","Betacoronavirus",0,0.000170095561450611
"990","Pteropus hypomelanus","Betacoronavirus",0,0.000153103895734958
"991","Pteropus lylei","Betacoronavirus",0,0.000138827524966939
"185","Pteropus rufus","Betacoronavirus",1,0.000108802069695871
"868","Cynomops abrasus","Betacoronavirus",0,9.6556384577103e-05
"167","Myotis dasycneme","Betacoronavirus",1,5.86391749143741e-05
"168","Myotis daubentonii","Betacoronavirus",1,5.68309341397765e-05
"141","Cynopterus horsfieldii","Betacoronavirus",1,5.4546154508802e-05
"178","Pipistrellus pipistrellus","Betacoronavirus",1,5.18674289688981e-05
"1017","Tadarida teniotis","Betacoronavirus",0,5.16140946247534e-05
"880","Eptesicus fuscus","Betacoronavirus",0,4.99181755503206e-05
"988","Pteropus capistratus","Betacoronavirus",0,4.96267580132638e-05
"858","Artibeus toltecus","Betacoronavirus",0,3.85587971527913e-05
"875","Epomophorus wahlbergi","Betacoronavirus",0,3.11541890609496e-05
"948","Myotis keenii","Betacoronavirus",0,2.90747946879061e-05
"149","Epomophorus labiatus","Betacoronavirus",1,2.74157255969332e-05
"169","Myotis emarginatus","Betacoronavirus",1,2.66395673503719e-05
"963","Myotis velifer","Betacoronavirus",0,1.63236840113223e-05
"964","Myotis volans","Betacoronavirus",0,1.30372045258774e-05
"983","Pipistrellus subflavus","Betacoronavirus",0,1.28799355129996e-05
"1001","Rhinolophus rouxii","Betacoronavirus",0,1.21830271569783e-05
"174","Pipistrellus abramus","Betacoronavirus",1,1.08755212510206e-05
"152","Eptesicus serotinus","Betacoronavirus",1,1.06345462162326e-05
"989","Pteropus conspicillatus","Betacoronavirus",0,9.79965420634639e-06
"155","Hipposideros caffer","Betacoronavirus",1,9.17668637600169e-06
"940","Myotis brandtii","Betacoronavirus",0,7.40924712841363e-06
"176","Pipistrellus kuhlii","Betacoronavirus",1,7.17419682105025e-06
"193","Rhinolophus rex","Betacoronavirus",1,6.64820007585285e-06
"200","Scotophilus leucogaster","Betacoronavirus",1,6.041061295197e-06
"157","Hipposideros galeritus","Betacoronavirus",1,5.11180171364318e-06
"158","Hipposideros pratti","Betacoronavirus",1,4.7673814937667e-06
"199","Scotophilus dinganii","Betacoronavirus",1,4.26569013689171e-06
"170","Myotis ricketti","Betacoronavirus",1,4.19405819803303e-06
"899","Hipposideros pomona","Betacoronavirus",0,3.6260035357419e-06
"947","Myotis horsfieldii","Betacoronavirus",0,3.54078598697746e-06
"156","Hipposideros commersoni","Betacoronavirus",1,3.03979240164279e-06
"900","Hipposideros speoris","Betacoronavirus",0,2.90726112797839e-06
"972","Nycteris gambiensis","Betacoronavirus",0,2.54407807588469e-06
"190","Rhinolophus hipposideros","Betacoronavirus",1,2.48470953674834e-06
"994","Pteropus scapulatus","Betacoronavirus",0,2.33088707063792e-06
"945","Myotis evotis","Betacoronavirus",0,2.30453144385666e-06
"957","Myotis nattereri","Betacoronavirus",0,2.18428483809286e-06
"896","Hipposideros lankadiva","Betacoronavirus",0,1.8395127208871e-06
"961","Myotis septentrionalis","Betacoronavirus",0,1.71702110519351e-06
"981","Pipistrellus hesperus","Betacoronavirus",0,1.6725551953847e-06
"898","Hipposideros lekaguli","Betacoronavirus",0,1.65008919142134e-06
"1018","Taphozous melanopogon","Betacoronavirus",0,1.21219539557106e-06
"892","Hipposideros bicolor","Betacoronavirus",0,9.35948428054396e-07
"897","Hipposideros larvatus","Betacoronavirus",0,8.01588241295956e-07
"938","Myotis austroriparius","Betacoronavirus",0,7.79501826360846e-07
"954","Myotis macropus","Betacoronavirus",0,6.72813591355006e-07
"191","Rhinolophus mehelyi","Betacoronavirus",1,6.09897241109261e-07
"186","Rhinolophus affinis","Betacoronavirus",1,5.26679503993199e-07
"159","Hipposideros ruber","Betacoronavirus",1,4.96098617105721e-07
"856","Artibeus fimbriatus","Betacoronavirus",0,3.41267804882166e-07
"953","Myotis macrodactylus","Betacoronavirus",0,2.67209051708486e-07
"194","Rhinolophus thomasi","Betacoronavirus",1,2.20656612111637e-07
"965","Myotis yumanensis","Betacoronavirus",0,2.16401080310884e-07
"941","Myotis californicus","Betacoronavirus",0,2.16094755338663e-07
"187","Rhinolophus clivosus","Betacoronavirus",1,1.97096438819912e-07
"951","Myotis longipes","Betacoronavirus",0,1.93692576235e-07
"939","Myotis blythii","Betacoronavirus",0,1.91275821388059e-07
"891","Hipposideros abae","Betacoronavirus",0,1.81887695706205e-07
"956","Myotis mystacinus","Betacoronavirus",0,1.18097056972535e-07
"1003","Rhinolophus simulator","Betacoronavirus",0,1.0828199432185e-07
"1004","Rhinolophus stheno","Betacoronavirus",0,1.03473350540254e-07
"177","Pipistrellus nathusii","Betacoronavirus",1,9.17145960424896e-08
"962","Myotis thysanodes","Betacoronavirus",0,9.08182738565077e-08
"1009","Scotophilus nigrita","Betacoronavirus",0,7.95926589187879e-08
"877","Eptesicus brasiliensis","Betacoronavirus",0,7.30001852468872e-08
"204","Vespertilio sinensis","Betacoronavirus",1,6.16615332832446e-08
"878","Eptesicus diminutus","Betacoronavirus",0,6.04532178491543e-08
"928","Miniopterus natalensis","Betacoronavirus",0,4.02013407596483e-08
"171","Neoromicia capensis","Betacoronavirus",1,2.78012551568443e-08
"950","Myotis levis","Betacoronavirus",0,2.6114733708333e-08
"959","Myotis punicus","Betacoronavirus",0,2.55285032127029e-08
"949","Myotis leibii","Betacoronavirus",0,2.26696778266288e-08
"996","Rhinolophus capensis","Betacoronavirus",0,1.89664453396838e-08
"1019","Taphozous theobaldi","Betacoronavirus",0,1.84225654580197e-08
"943","Myotis chiloensis","Betacoronavirus",0,1.74129534004049e-08
"179","Pipistrellus pygmaeus","Betacoronavirus",1,1.71091521446221e-08
"1013","Sturnira ludovici","Betacoronavirus",0,1.32460714932396e-08
"895","Hipposideros gigas","Betacoronavirus",0,1.31989443890901e-08
"192","Rhinolophus monoceros","Betacoronavirus",1,9.57088182555602e-09
"944","Myotis davidii","Betacoronavirus",0,9.48073390171369e-09
"1010","Scotophilus nux","Betacoronavirus",0,8.57853411511437e-09
"980","Pipistrellus coromandra","Betacoronavirus",0,7.10113938963822e-09
"901","Hipposideros vittatus","Betacoronavirus",0,6.36711308618815e-09
"894","Hipposideros diadema","Betacoronavirus",0,6.33658975283884e-09
"960","Myotis riparius","Betacoronavirus",0,5.39571521352894e-09
"984","Platyrrhinus helleri","Betacoronavirus",0,4.21735214562672e-09
"937","Myotis albescens","Betacoronavirus",0,2.82904674914529e-09
"998","Rhinolophus eloquens","Betacoronavirus",0,2.48244771286691e-09
"173","Nyctinomops laticaudatus","Betacoronavirus",1,2.39455435240865e-09
"188","Rhinolophus cornutus","Betacoronavirus",1,1.80693321297451e-09
"1000","Rhinolophus megaphyllus","Betacoronavirus",0,1.47928260550404e-09
"926","Miniopterus inflatus","Betacoronavirus",0,1.31678015955642e-09
"929","Miniopterus pusillus","Betacoronavirus",0,9.45824631284402e-10
"982","Pipistrellus inexspectatus","Betacoronavirus",0,8.52717458800234e-10
"973","Nycteris nana","Betacoronavirus",0,7.43694333413823e-10
"1002","Rhinolophus shameli","Betacoronavirus",0,6.91950603672298e-10
"175","Pipistrellus hesperidus","Betacoronavirus",1,6.77705783216111e-10
"942","Myotis capaccinii","Betacoronavirus",0,5.75052023659482e-10
"927","Miniopterus magnater","Betacoronavirus",0,5.45333343015361e-10
"893","Hipposideros cineraceus","Betacoronavirus",0,5.24267178583809e-10
"968","Natalus tumidirostris","Betacoronavirus",0,4.64250294812373e-10
"889","Glossophaga morenoi","Betacoronavirus",0,4.24696494122044e-10
"874","Dobsonia anderseni","Betacoronavirus",0,3.79819228789297e-10
"151","Eptesicus nilssonii","Betacoronavirus",1,3.41620975451015e-10
"1014","Sturnira tildae","Betacoronavirus",0,3.25234695865556e-10
"908","Lasiurus cinereus","Betacoronavirus",0,2.01760348769504e-10
"925","Miniopterus australis","Betacoronavirus",0,1.94656033820779e-10
"172","Nyctalus noctula","Betacoronavirus",1,1.90237307393736e-10
"1011","Sturnira erythromos","Betacoronavirus",0,1.33399404028647e-10
"967","Natalus stramineus","Betacoronavirus",0,1.24526276022004e-10
"907","Lasiurus borealis","Betacoronavirus",0,1.09113488945692e-10
"143","Dobsonia moluccensis","Betacoronavirus",1,1.05342359008929e-10
"974","Nycteris thebaica","Betacoronavirus",0,1.05150287342763e-10
"888","Glossophaga longirostris","Betacoronavirus",0,9.83224666040621e-11
"879","Eptesicus furinalis","Betacoronavirus",0,7.12336718375527e-11
"999","Rhinolophus hildebrandtii","Betacoronavirus",0,4.6863275355366e-11
"910","Lasiurus egregius","Betacoronavirus",0,3.71847296969739e-11
"985","Platyrrhinus lineatus","Betacoronavirus",0,1.94919824142574e-11
"887","Glossophaga commissarisi","Betacoronavirus",0,1.42643914008943e-11
"153","Eumops glaucinus","Betacoronavirus",1,1.17778846071935e-11
"1026","Vespertilio murinus","Betacoronavirus",0,3.42721587151984e-12
"969","Neoromicia nanus","Betacoronavirus",0,2.22099845810588e-12
"912","Lasiurus seminolus","Betacoronavirus",0,8.08903096240123e-13
"976","Nyctinomops macrotis","Betacoronavirus",0,6.86626663336166e-13
"882","Eumops auripendulus","Betacoronavirus",0,3.63788580783815e-13
"906","Lasiurus blossevillii","Betacoronavirus",0,2.20821777607566e-13
"883","Eumops patagonicus","Betacoronavirus",0,1.26189835441352e-13
"971","Nyctalus plancyi","Betacoronavirus",0,1.19744077542506e-13
"909","Lasiurus ega","Betacoronavirus",0,8.80712888335531e-14
"970","Nyctalus lasiopterus","Betacoronavirus",0,6.0036480388156e-14
"911","Lasiurus intermedius","Betacoronavirus",0,5.48763838667044e-14
"913","Lasiurus xanthinus","Betacoronavirus",0,8.97331673482999e-15
"905","Lasionycteris noctivagans","Betacoronavirus",0,4.97138541848003e-15
"920","Macroglossus minimus","Betacoronavirus",0,2.15811466197556e-15
"180","Ptenochirus jagori","Betacoronavirus",1,1.63030078215229e-15
"1005","Rhynchonycteris naso","Betacoronavirus",0,1.39421864296287e-15
"884","Eumops perotis","Betacoronavirus",0,1.23047604954431e-15
"886","Glauconycteris argentata","Betacoronavirus",0,4.06375411219553e-16
"161","Ia io","Betacoronavirus",1,3.31833806240764e-16
"977","Philetor brachypterus","Betacoronavirus",0,2.88119079555074e-16
"922","Mesophylla macconnelli","Betacoronavirus",0,2.78507364288932e-16
"137","Aselliscus stoliczkanus","Betacoronavirus",1,2.29785514604351e-16
"930","Molossops neglectus","Betacoronavirus",0,1.73375841143777e-16
"916","Lichonycteris obscura","Betacoronavirus",0,1.41060536972299e-16
"162","Megaerops niphanae","Betacoronavirus",1,1.2619035464179e-16
"885","Falsistrellus mackenziei","Betacoronavirus",0,8.87237692749684e-17
"917","Lonchophylla robusta","Betacoronavirus",0,8.67754344393761e-17
"881","Euderma maculatum","Betacoronavirus",0,7.3849268104387e-17
"144","Dyacopterus spadiceus","Betacoronavirus",1,5.59326030044658e-17
"867","Corynorhinus townsendii","Betacoronavirus",0,5.01643059711589e-17
"975","Nycticeius humeralis","Betacoronavirus",0,4.84383091530109e-17
"924","Mimon crenulatum","Betacoronavirus",0,1.5008760276522e-17
"872","Diclidurus albus","Betacoronavirus",0,1.29223682440191e-17
"195","Rhinonicteris aurantia","Betacoronavirus",1,1.05590260691071e-17
"1022","Vampyrodes caraccioli","Betacoronavirus",0,6.20489417655613e-18
"923","Micronycteris megalotis","Betacoronavirus",0,3.14818025154959e-18
"936","Myonycteris torquata","Betacoronavirus",0,2.60036968535658e-18
